refsets_id	negated	value
4211203	0	"<<387293003 | Anthralin (substance)|"
4211203	0	"<<406473004 |  Contact allergen (substance)|"
4265960	0	"<< 405729008 | Afgang af blodig afføring |"
4265974	0	<<281239006
4265974	0	"<56018004 <<281239006"
4265974	0	"*:408731000= <<56018004"
4265974	0	"(*:408731000=<<56018004) AND (*:408731000=<<56018004)"
4265974	0	(*:408731000=<<56018004),(*:408731000=<<195967001)
4265974	0	"(<<281239006,(*:260507000=195967001),(*:255234002=195967001),(*:47429007=195967001),(*:263502005=195967001),(*:363699004=195967001),(*:363700003=195967001),(*:363701004=195967001),(*:42752001=195967001),(*:408729009=195967001),(*:419066007=195967001),(*:418775008=195967001),(*:363705008=195967001),(*:411116001=195967001),(*:363703001=195967001),(*:363713009=195967001),(*:116686009=195967001),(*:363710007=195967001),(*:363709002=195967001),(*:272741003=195967001),(*:370129005=195967001),(*:260686004=195967001),(*:246454002=195967001),(*:370135005=195967001),(*:260870009=195967001),(*:408730004=195967001),(*:405815000=195967001),(*:405816004=195967001),(*:363704007=195967001),(*:370130000=195967001),(*:370131001=195967001),(*:246513007=195967001),(*:410675002=195967001),(*:370132008=195967001),(*:118171006=195967001),(*:118170007=195967001),(*:118168003=195967001),(*:118169006=195967001),(*:370133003=195967001),(*:408732007=195967001),(*:424876005=195967001),(*:408731000=195967001),(*:425391005=195967001),(*:424226004=195967001),(*:424244007=195967001),(*:424361007=195967001),(*:260507000=<<56018004),(*:255234002=<<56018004),(*:47429007=<<56018004),(*:263502005=<<56018004),(*:363699004=<<56018004),(*:363700003=<<56018004),(*:363701004=<<56018004),(*:42752001=<<56018004),(*:408729009=<<56018004),(*:419066007=<<56018004),(*:418775008=<<56018004),(*:363705008=<<56018004),(*:411116001=<<56018004),(*:363703001=<<56018004),(*:363713009=<<56018004),(*:116686009=<<56018004),(*:363710007=<<56018004),(*:363709002=<<56018004),(*:272741003=<<56018004),(*:370129005=<<56018004),(*:260686004=<<56018004),(*:246454002=<<56018004),(*:370135005=<<56018004),(*:260870009=<<56018004),(*:408730004=<<56018004),(*:405815000=<<56018004),(*:405816004=<<56018004),(*:363704007=<<56018004),(*:370130000=<<56018004),(*:370131001=<<56018004),(*:246513007=<<56018004),(*:410675002=<<56018004),(*:370132008=<<56018004),(*:118171006=<<56018004),(*:118170007=<<56018004),(*:118168003=<<56018004),(*:118169006=<<56018004),(*:370133003=<<56018004),(*:408732007=<<56018004),(*:424876005=<<56018004),(*:408731000=<<56018004),(*:425391005=<<56018004),(*:424226004=<<56018004),(*:424244007=<<56018004),(*:424361007=<<56018004),<56018004) MINUS (<<31387002,<<370220003)"
4477752	0	"<<106063007 | Cardiovascular finding (finding) |"
4477752	0	"<<244259008 | Right dominant posterior descending artery (body structure) |"
4513687	0	"<<40733004 |Infectious disease (disorder)|"
4513694	0	"<<65094009 |Multiple malformation syndrome with facial defects as major feature (disorder)|"
4513694	0	"<<77701002 |Multiple malformation syndrome, moderate short stature, facial (disorder)|"
4513694	0	"<<205258009 |Acrocephalosyndactyly type I (disorder)|"
4513694	0	"<<52616002 |Freeman-Sheldon syndrome (disorder)|"
4513694	0	"<<715216008 |Distal arthrogryposis type 2B (disorder)|"
4513694	0	"<<81780002 |Beckwith-Wiedemann syndrome (disorder)|"
4513694	0	"<<47535005 |Coloboma, heart malformation, choanal atresia, retardation of growth and development, genital abnormalities, and ear malformations association (disorder)|"
4513694	0	"<<715215007 |Chromosome 11p13 deletion syndrome (disorder)|"
5562855	0	<<410607006
5942210	0	<<404684003
5942211	0	<<123037004
6255761	0	"<<40733004|Infectious disease(disorder)|"
6447318	0	"<<404684003 | Clinical finding (finding) |"
6447335	0	<<414545008
6447335	0	<<53741008
6447335	0	<<118806004
6447335	0	<<41801008
6648053	0	"<<473011001 | Allergic condition (disorder) |"
6648053	0	"<<160469004 | Family history: Allergy (situation) |"
6648053	0	"<<160268005 | No family history: Allergy (situation) |"
6648053	0	"<<702814002 | Allergy clinic (environment) |"
6648053	0	"<<709078005 | Allergen product (product) |"
6648053	0	"<<716186003 | No known allergy (situation) |"
6648053	0	"<<165007007 | Allergy testing done (situation) |"
6648053	0	"<<161611007 | History of non-drug allergy (situation) |"
6648053	0	"<<762616007 | History of food allergy (situation) |"
6648053	0	"<<165008002 | Allergy testing not done (situation) |"
6648053	0	"<<170841002 | Allergy treatment changed (situation) |"
6648053	0	"<<12481000132103 | History of biological substance allergy (situation) |"
6648053	0	"<<428448003 | History of atopy (situation) |"
6648053	0	"<<735933002 | History of allergy to drug (situation) |"
6648053	0	"<<309913004 | Clinical allergy department (environment) |"
6648053	0	"<<32193000 | Free-standing immunology clinic (environment) |"
6648053	0	"<<360957003 | Hospital-based outpatient allergy clinic (environment) |"
6648053	0	"<<73239008 | Nogier auricular allergy (body structure) |"
6648053	0	"<<722446000 | Allergy record (record artifact) |"
6648053	0	"<<21943002 | Clinical immunology and allergy specialist (occupation) |"
6648090	0	"<< 264395009|Microorganism|"
6708178	0	"<<272379006 | Event (event) |"
7456403	0	"<<223496003|Geographical and/or political region of the world (geographic location)|"
7456413	0	"<<91723000 |Anatomical structure| : 363698007 |Finding site| = <<125605004 |Fracture of bone|"
7456439	0	"<<285201006|Hospital environment (environment)|"
7539172	0	"<< 64572001 |Disease (disorder)| : 370135005 |Pathological process| = 442614005 |Parasitic process (qualifier value)|"
7539189	0	"<< 410662002|Concept model attribute|"
7539192	0	"20078004 224690008 224701009 225728007 261904005 274516006 309901009 309902002 309903007 309904001 309905000 309906004 309907008 309909006 309910001 309912009 309915006 309916007 309919000 309923008 309924002 309925001 309926000 309927009 309933000 309934006 309936008 309937004 309938009 309939001 309940004 309941000 309942007 309943002 309944008 309945009 309946005 309948006 309949003 309954007 309958005 309959002 309961006 309964003 309966001 309967005 309969008 309970009 309971008 309972001 309974000 309978002 309980008 309984004 309986002 309987006 309988001 309989009 309990000 309991001 309992008 309993003 309994009 309995005 309996006 309998007 310203004 33022008 34304006 35971002 36125001 397784001 398161000 405269005 405606005 418433008 418518002 420223003 42665001 427695007 441548002 441662001 441994008 443621004 702827003 702828008 702877000 702878005 80522000"
7613452	0	"<<223366009|Healthcare professional|"
7625329	0	"<<138875005|SNOMED CT Concept|"
7625330	0	"<<138875005|SNOMED CT Concept|"
8533290	0	"<< 264395009|Microorganism|"
8795006	0	"<< 394658006|Clinical specialty (qualifier value)|"
8795011	0	<442389001
8795014	0	"<<127465007 | Specimen from gastrointestinal tract |"
8795017	0	<<258415003
8795019	0	"<54597004 | Chronic colitis (disorder) |"
8795019	0	"<235748008 | Fulminant amebic colitis (disorder) |"
8795019	0	"<<55023005 | Amebic nondysenteric colitis (disorder) |"
8795019	0	"<<111910009 | Amebic infection (disorder) |"
8795041	0	"<<64572001 | Disease (disorder) |"
8795042	0	"<<105590001 | Substance (substance) |"
8795043	0	"<<410942007 | Drug or medicament (substance) |"
8795045	0	"<<373873005 | Pharmaceutical / biologic product (product) |"
8795046	0	"<<226465004 | Drinks (substance) |"
9031238	0	"<<71388002 | Procedure (procedure) |"
9423876	0	<<7389001
9423885	0	"<<373873005 | Pharmaceutical / biologic product (product) |"
9423889	0	"<<223369002 |Country (geographic location)|"
9423890	0	"<<223369002 |Country (geographic location)|"
9423894	0	<<735924004
9423894	0	"<<385910005 | Cataract care education (procedure) | AND <<385908008 | Cataract care assessment (procedure) |"
9520966	0	"<< 410942007|Drug or medicament|"
9571255	0	<<410662002
9571277	0	"<<264395009 | Microorganism (organism) |"
9571281	0	"<<473011001 | Allergic condition (disorder) |"
9571281	0	"<<160469004 | Family history: Allergy (situation) |"
9571281	0	"<<160268005 | No family history: Allergy (situation) |"
9571281	0	"<<702814002 | Allergy clinic (environment) |"
9571281	0	"<<709078005 | Allergen product (product) |"
9571281	0	"<<716186003 | No known allergy (situation) |"
9571281	0	"<<165007007 | Allergy testing done (situation) |"
9571281	0	"<<161611007 | History of non-drug allergy (situation) |"
9571281	0	"<<762616007 | History of food allergy (situation) |"
9571281	0	"<<165008002 | Allergy testing not done (situation) |"
9571281	0	"<<170841002 | Allergy treatment changed (situation) |"
9571281	0	"<<12481000132103 | History of biological substance allergy (situation) |"
9571281	0	"<<428448003 | History of atopy (situation) |"
9571281	0	"<<735933002 | History of allergy to drug (situation) |"
9571281	0	"<<309913004 | Clinical allergy department (environment) |"
9571281	0	"<<32193000 | Free-standing immunology clinic (environment) |"
9571281	0	"<<360957003 | Hospital-based outpatient allergy clinic (environment) |"
9571281	0	"<<73239008 | Nogier auricular allergy (body structure) |"
9571281	0	"<<722446000 | Allergy record (record artifact) |"
9571281	0	"<<21943002 | Clinical immunology and allergy specialist (occupation) |"
9822209	0	"<< 396232000 |Inguinal hernia (disorder)|"
9829572	0	<284009009
9829574	0	<442083009
9829575	0	<272394005
9829576	0	<49755003
9829577	0	<434711009
9829578	0	<105590001
9829579	0	<71388002
9829580	0	<129264002
9829581	0	<<32712000
10004852	0	"<< 49062001 | Device (physical object) |"
10004852	1	"<< 705178002 | Physical therapy device (physical object) |"
10004853	0	"<< 405944004"
10033507	0	"<<264395009 | Microorganism (organism) |"
10033508	0	"<< 429040005 |Ulcer (disorder)|"
10033515	0	"<< 95345008"
10174416	0	"<< 71388002"
10174417	0	"<<71388002 |Procedure (procedure)|"
10174428	0	"71388002 |Procedure (procedure)|"
10174429	0	<71388002
10174430	0	"<  404684003 |Clinical finding|"
10174432	0	"<< 404684003 |Clinical finding|"
10174439	0	"<<95345008 |Ulcer of foot (disorder)|"
10674254	0	"<<301021005 |Ulcer of toe (disorder)|"
10674255	0	"<<95345008 |Ulcer of foot (disorder)|"
10674257	0	"<<95345008 |Ulcer of foot (disorder)|"
10674872	0	"<<64572001 | Disease (disorder) |"
10674874	0	<71388002
10674875	0	<53527002
11048308	0	"<<444677008 |Report type|"
11096259	0	"<< 252741004"
11103518	0	"<<  73211009 |Diabetes mellitus|"
11103519	0	">  40541001 |Acute pulmonary edema|"
11103521	0	<<105590001
11242556	0	<<272673000
11311857	0	<<284548004
11311858	0	<<368208006
11311864	0	<<410607006
11311880	0	<<405944004
11473758	0	<<118817003
11473758	0	<<706389006
11551014	0	"<<264395009 | Microorganism (organism) |"
11651180	0	<<38341003
11651181	0	<<38341003
11651186	0	"<<37372002, >>85539001, >>8765009, >>430349003"
11651187	0	"<<37372002;minus<<85539001;minus<<8765009; minus<<430349003"
11686076	0	"<< 429040005 |Ulcer (disorder)|"
11686076	0	"<< 416462003 |Wound (disorder)|"
11686076	1	"<< 416462003 |Wound (disorder)|: 363698007 |Finding site| = << 38866009 |Body part structure (body structure)|"
11686076	1	"<< 429040005 |Ulcer (disorder)|: 363698007 |Finding site| = << 38866009 |Body part structure (body structure)|"
11686076	1	"<<40845000 | Gastrointestinal ulcer (disorder) |"
11686076	1	"<2622007 | Infected ulcer of skin (disorder) |"
11686076	1	"<2622007 | Infected ulcer of skin (disorder) |"
11686076	1	"<399912005 | Pressure ulcer (disorder) |"
11686076	1	"<262526004 | Wound of skin (disorder) |"
11686076	1	"<<82988003 | Open wound of trachea with complication (disorder) |"
11736153	0	"<<394658006 | Clinical specialty (qualifier value) |"
11767208	0	"<<14669001 | Acute renal failure syndrome (disorder) |"
11767208	0	"<<609482001 | Induced termination of pregnancy complicated by renal tubular necrosis (disorder) |"
11767208	0	"<<236426006 | Postoperative acute tubular necrosis (disorder) |"
11767208	0	"<<236427002 | Post-traumatic acute tubular necrosis (disorder) |"
11767208	0	"<<57469000 | Miscarriage with acute renal failure (disorder) |"
11767208	0	"<<200118004 | Post-delivery acute renal failure with postnatal problem (disorder) |"
11767208	0	"<<129561000119108 | Pre-renal acute kidney injury (disorder) |"
11767208	1	"<<236432001 | Pulmonary renal syndrome (disorder) |"
11767208	0	"<<236574008 | Acute rejection of renal transplant (disorder) |"
11767208	1	"<<236573002 | Very mild acute rejection of renal transplant (disorder) |"
11767208	0	"<<723189000 | Acute renal insufficiency (disorder) |"
11767208	0	"<<716864001 | Hemorrhagic fever with renal syndrome (disorder) |"
11767209	0	"<<14669001 | Acute renal failure syndrome (disorder) |"
11767209	0	"<<609482001 | Induced termination of pregnancy complicated by renal tubular necrosis (disorder) |"
11767209	0	"<<236426006 | Postoperative acute tubular necrosis (disorder) |"
11767209	0	"<<236427002 | Post-traumatic acute tubular necrosis (disorder) |"
