terminologyId,negated,value
12345001,0,"<<387293003 | Anthralin (substance)|"
12345001,0,"<<406473004 |  Contact allergen (substance)|"
TMP-ykhjle,0,"<< 405729008 | Afgang af blodig afføring |"
TMP-w2h334,0,<<281239006
TMP-w2h334,0,"<56018004
<<281239006"
TMP-w2h334,0,"*:408731000= <<56018004"
TMP-w2h334,0,"(*:408731000=<<56018004) AND (*:408731000=<<56018004)"
TMP-w2h334,0,"(*:408731000=<<56018004),(*:408731000=<<195967001)"
TMP-w2h334,0,"(<<281239006,(*:260507000=195967001),(*:255234002=195967001),(*:47429007=195967001),(*:263502005=195967001),(*:363699004=195967001),(*:363700003=195967001),(*:363701004=195967001),(*:42752001=195967001),(*:408729009=195967001),(*:419066007=195967001),(*:418775008=195967001),(*:363705008=195967001),(*:411116001=195967001),(*:363703001=195967001),(*:363713009=195967001),(*:116686009=195967001),(*:363710007=195967001),(*:363709002=195967001),(*:272741003=195967001),(*:370129005=195967001),(*:260686004=195967001),(*:246454002=195967001),(*:370135005=195967001),(*:260870009=195967001),(*:408730004=195967001),(*:405815000=195967001),(*:405816004=195967001),(*:363704007=195967001),(*:370130000=195967001),(*:370131001=195967001),(*:246513007=195967001),(*:410675002=195967001),(*:370132008=195967001),(*:118171006=195967001),(*:118170007=195967001),(*:118168003=195967001),(*:118169006=195967001),(*:370133003=195967001),(*:408732007=195967001),(*:424876005=195967001),(*:408731000=195967001),(*:425391005=195967001),(*:424226004=195967001),(*:424244007=195967001),(*:424361007=195967001),(*:260507000=<<56018004),(*:255234002=<<56018004),(*:47429007=<<56018004),(*:263502005=<<56018004),(*:363699004=<<56018004),(*:363700003=<<56018004),(*:363701004=<<56018004),(*:42752001=<<56018004),(*:408729009=<<56018004),(*:419066007=<<56018004),(*:418775008=<<56018004),(*:363705008=<<56018004),(*:411116001=<<56018004),(*:363703001=<<56018004),(*:363713009=<<56018004),(*:116686009=<<56018004),(*:363710007=<<56018004),(*:363709002=<<56018004),(*:272741003=<<56018004),(*:370129005=<<56018004),(*:260686004=<<56018004),(*:246454002=<<56018004),(*:370135005=<<56018004),(*:260870009=<<56018004),(*:408730004=<<56018004),(*:405815000=<<56018004),(*:405816004=<<56018004),(*:363704007=<<56018004),(*:370130000=<<56018004),(*:370131001=<<56018004),(*:246513007=<<56018004),(*:410675002=<<56018004),(*:370132008=<<56018004),(*:118171006=<<56018004),(*:118170007=<<56018004),(*:118168003=<<56018004),(*:118169006=<<56018004),(*:370133003=<<56018004),(*:408732007=<<56018004),(*:424876005=<<56018004),(*:408731000=<<56018004),(*:425391005=<<56018004),(*:424226004=<<56018004),(*:424244007=<<56018004),(*:424361007=<<56018004),<56018004) MINUS (<<31387002,<<370220003)"
TMP-m3thw9,0,"<<106063007 | Cardiovascular finding (finding) |"
TMP-m3thw9,0,"<<244259008 | Right dominant posterior descending artery (body structure) |"
TMP-kyo4d1,0,"<<40733004 |Infectious disease (disorder)|"
TMP-5ev02m,0,"<<65094009 |Multiple malformation syndrome with facial defects as major feature (disorder)|"
TMP-5ev02m,0,"<<77701002 |Multiple malformation syndrome, moderate short stature, facial (disorder)|"
TMP-5ev02m,0,"<<205258009 |Acrocephalosyndactyly type I (disorder)|"
TMP-5ev02m,0,"<<52616002 |Freeman-Sheldon syndrome (disorder)|"
TMP-5ev02m,0,"<<715216008 |Distal arthrogryposis type 2B (disorder)|"
TMP-5ev02m,0,"<<81780002 |Beckwith-Wiedemann syndrome (disorder)|"
TMP-5ev02m,0,"<<47535005 |Coloboma, heart malformation, choanal atresia, retardation of growth and development, genital abnormalities, and ear malformations association (disorder)|"
TMP-5ev02m,0,"<<715215007 |Chromosome 11p13 deletion syndrome (disorder)|"
TMP-biazc1,0,<<410607006
TMP-o412dw,0,<<404684003
TMP-wufo14,0,<<123037004
TMP-sdr2h9,0,"<<40733004|Infectious disease(disorder)|"
3,0,"<<404684003 | Clinical finding (finding) |"
TMP-pbud2t,0,<<414545008
TMP-pbud2t,0,<<53741008
TMP-pbud2t,0,<<118806004
TMP-pbud2t,0,<<41801008
1731000189101,0,"<<473011001 | Allergic condition (disorder) |"
1731000189101,0,"<<160469004 | Family history: Allergy (situation) |"
1731000189101,0,"<<160268005 | No family history: Allergy (situation) |"
1731000189101,0,"<<702814002 | Allergy clinic (environment) |"
1731000189101,0,"<<709078005 | Allergen product (product) |"
1731000189101,0,"<<716186003 | No known allergy (situation) |"
1731000189101,0,"<<165007007 | Allergy testing done (situation) |"
1731000189101,0,"<<161611007 | History of non-drug allergy (situation) |"
1731000189101,0,"<<762616007 | History of food allergy (situation) |"
1731000189101,0,"<<165008002 | Allergy testing not done (situation) |"
1731000189101,0,"<<170841002 | Allergy treatment changed (situation) |"
1731000189101,0,"<<12481000132103 | History of biological substance allergy (situation) |"
1731000189101,0,"<<428448003 | History of atopy (situation) |"
1731000189101,0,"<<735933002 | History of allergy to drug (situation) |"
1731000189101,0,"<<309913004 | Clinical allergy department (environment) |"
1731000189101,0,"<<32193000 | Free-standing immunology clinic (environment) |"
1731000189101,0,"<<360957003 | Hospital-based outpatient allergy clinic (environment) |"
1731000189101,0,"<<73239008 | Nogier auricular allergy (body structure) |"
1731000189101,0,"<<722446000 | Allergy record (record artifact) |"
1731000189101,0,"<<21943002 | Clinical immunology and allergy specialist (occupation) |"
TMP-9yl9u5,0,"<< 264395009|Microorganism|"
TMP-zg9722,0,"<<272379006 | Event (event) |"
TMP-ms1r98,0,"<<223496003|Geographical and/or political region of the world (geographic location)|"
100,0,"<<91723000 |Anatomical structure| : 363698007 |Finding site| = <<125605004 |Fracture of bone|"
TMP-hxps9v,0,"<<285201006|Hospital environment (environment)|"
2018001,0,"<< 64572001 |Disease (disorder)| :
        370135005 |Pathological process| = 442614005 |Parasitic process (qualifier value)|"
TMP-ebd6wo,0,"<< 410662002|Concept model attribute|"
TMP-203i74,0,"20078004
224690008
224701009
225728007
261904005
274516006
309901009
309902002
309903007
309904001
309905000
309906004
309907008
309909006
309910001
309912009
309915006
309916007
309919000
309923008
309924002
309925001
309926000
309927009
309933000
309934006
309936008
309937004
309938009
309939001
309940004
309941000
309942007
309943002
309944008
309945009
309946005
309948006
309949003
309954007
309958005
309959002
309961006
309964003
309966001
309967005
309969008
309970009
309971008
309972001
309974000
309978002
309980008
309984004
309986002
309987006
309988001
309989009
309990000
309991001
309992008
309993003
309994009
309995005
309996006
309998007
310203004
33022008
34304006
35971002
36125001
397784001
398161000
405269005
405606005
418433008
418518002
420223003
42665001
427695007
441548002
441662001
441994008
443621004
702827003
702828008
702877000
702878005
80522000"
TMP-6zxhpl,0,"<<223366009|Healthcare professional|"
TMP-25ciim,0,"<<138875005|SNOMED CT Concept|"
TMP-58juxe,0,"<<138875005|SNOMED CT Concept|"
TMP-dvgbh4,0,"<< 264395009|Microorganism|"
TMP-fx8yt3,0,"<< 394658006|Clinical specialty (qualifier value)|"
61000057105,0,<442389001
TMP-h7yqyr,0,"<<127465007 | Specimen from gastrointestinal tract |"
TMP-hjd7u0,0,<<258415003
67,0,"<54597004 | Chronic colitis (disorder) |"
67,0,"<235748008 | Fulminant amebic colitis (disorder) |"
67,0,"<<55023005 | Amebic nondysenteric colitis (disorder) |"
67,0,"<<111910009 | Amebic infection (disorder) |"
TMP-ckevu4,0,"<<64572001 | Disease (disorder) |"
TMP-snkyqu,0,"<<105590001 | Substance (substance) |"
TMP-1nrmfb,0,"<<410942007 | Drug or medicament (substance) |"
TMP-i2drd7,0,"<<373873005 | Pharmaceutical / biologic product (product) |"
TMP-1mdnik,0,"<<226465004 | Drinks (substance) |"
100000,0,"<<71388002 | Procedure (procedure) |"
TMP-j0jfhm,0,<<7389001
TMP-5mjt4a,0,"<<373873005 | Pharmaceutical / biologic product (product) |"
1041000003106,0,"<<223369002 |Country (geographic location)|"
1041000003106,0,"<<223369002 |Country (geographic location)|"
1061000003107,0,<<735924004
1061000003107,0,"<<385910005 | Cataract care education (procedure) | AND <<385908008 | Cataract care assessment (procedure) |"
TMP-6xrlab,0,"<< 410942007|Drug or medicament|"
TMP-bpi7jy,0,<<410662002
391000210104,0,"<<264395009 | Microorganism (organism) |"
198907,0,"<<473011001 | Allergic condition (disorder) |"
198907,0,"<<160469004 | Family history: Allergy (situation) |"
