terminologyId	negated	value
421000210109	\0	<<223369002 |Country (geographic location)|
1041000003106	\0	<<223369002 |Country (geographic location)|
391000210104	\0	<<264395009 | Microorganism (organism) |
391000210104	\0	<<264395009 | Microorganism (organism) |
TMP-swtaub	\0	<<14669001 | Acute renal failure syndrome (disorder) |
TMP-swtaub	\0	<<609482001 | Induced termination of pregnancy complicated by renal tubular necrosis (disorder) |
TMP-swtaub	\0	<<236426006 | Postoperative acute tubular necrosis (disorder) |
TMP-swtaub	\0	<<236427002 | Post-traumatic acute tubular necrosis (disorder) |
TMP-swtaub	\0	<<57469000 | Miscarriage with acute renal failure (disorder) |
TMP-swtaub	\0	<<200118004 | Post-delivery acute renal failure with postnatal problem (disorder) |
TMP-swtaub	\0	<<129561000119108 | Pre-renal acute kidney injury (disorder) |
TMP-swtaub		<<236432001 | Pulmonary renal syndrome (disorder) |
TMP-swtaub	\0	<<236574008 | Acute rejection of renal transplant (disorder) |
TMP-swtaub		<<236573002 | Very mild acute rejection of renal transplant (disorder) |
TMP-swtaub	\0	<<723189000 | Acute renal insufficiency (disorder) |
TMP-swtaub	\0	<<716864001 | Hemorrhagic fever with renal syndrome (disorder) |
683861000189108	\0	<<272123002 | Frequencies (qualifier value) |
683861000189108	\0	<<419492006 | Additional dosage instructions (qualifier value) |
683861000189108	\0	<<284009009 |Route of administration value (qualifier value)|
683861000189108	\0	<<272106006 | Temporal periods of day (qualifier value) |
683861000189108	\0	<<307157008 | Temporal periods relating to activities (qualifier value) |
683861000189108	\0	<<420247005 | Dosing instruction imperative (qualifier value) |
683861000189108	\0	<<408102007 | Unit dose (qualifier value) |
68661000052109	\0	<405277009 |legitimerad läkare som gör specialiseringstjänstgöring|
68661000052109	\0	<405277009 |legitimerad läkare som gör specialiseringstjänstgöring|
73171000052105	\0	(((<<102572006 |ödem i ben| OR <<444848005 |ryggödem|) MINUS <<403385000 |lymfödem i ben|) MINUS <<65605001 |ryggmärgsödem|) OR (271808008 |generaliserat ödem|) OR (248499004 |ödem i lågt belägna kroppsdelar|)
68661000052109	\0	<405277009 |legitimerad läkare som gör specialiseringstjänstgöring|
73171000052105	\0	(((<<102572006 |ödem i ben| OR <<444848005 |ryggödem|) MINUS <<403385000 |lymfödem i ben|) MINUS <<65605001 |ryggmärgsödem|) OR (271808008 |generaliserat ödem|) OR (248499004 |ödem i lågt belägna kroppsdelar|)
683861000189108	\0	<<419492006 | Additional dosage instructions (qualifier value) |
683861000189108	\0	<<272106006 | Temporal periods of day (qualifier value) |
683861000189108	\0	<<408102007 | Unit dose (qualifier value) |
683861000189108	\0	<<284009009 |Route of administration value (qualifier value)|
683861000189108	\0	<<307157008 | Temporal periods relating to activities (qualifier value) |
683861000189108	\0	<<272123002 | Frequencies (qualifier value) |
683861000189108	\0	<<420247005 | Dosing instruction imperative (qualifier value) |
683861000189108	\0	<<736542009 | Pharmaceutical dose form (dose form) |
683861000189108	\0	<< 732935002 | Unit of presentation (unit of presentation) |
68661000052109	\0	<405277009 |legitimerad läkare som gör specialiseringstjänstgöring|
