id	description	exclusionClause	feedbackEmail	lastModified	lastModifiedBy	moduleId	name	namespace	organization	terminology	version	terminologyHandlerKey	terminologyHandlerUrl	workflowPath	stableUUIDs	inactiveLastModified	refeshDescriptionsLastModified
1	This project is the production area for official SNOMED International reference sets	NULL	NULL	2021-07-06 14:50:38	tshird	900000000000207008	SNOMED International Project	NULL	IHTSDO	SNOMEDCT		AUTHORING-INTL	https://prod-snowstorm.ihtsdotools.org/snowstorm/snomed-ct	DEFAULT		2020-09-29 21:25:17.891000	2020-09-29 21:25:17.891000
51	This project is the production area for demo and prototypes of SNOMED International reference sets	NULL	rda@ihtsdo.org	2021-03-24 12:14:52	jschofield	900000000000207008	SNOMED International Demo Project	1000003	IHTSDO	SNOMEDCT	NULL	PUBLIC-BROWSER	https://prod-browser.ihtsdotools.org/snowstorm/snomed-ct	DEFAULT		NULL	NULL
52	test BROWSER project	NULL	NULL	2021-03-15 17:41:20	rwood	1000124	WCI test BROWSER project	1000124	NLM	SNOMEDCT	NULL	PUBLIC-BROWSER	https://prod-browser.ihtsdotools.org/snowstorm/snomed-ct	DEFAULT		NULL	NULL
53	e-Health Suisse refset project	NULL	pero.grgic@e-health-suisse.ch	2023-05-08 15:15:40	pgrgic	900000000000207008	e-Health Suisse	1000195	e-Health Suisse	SNOMEDCT-CH	NULL	MANAGED-SERVICE	https://prod-snowstorm.ihtsdotools.org/snowstorm/snomed-ct	DEFAULT		2023-05-08 15:15:40.077000	NULL
101	Japanese translation pilot project	NULL	ltu@ihtsdo.org	2021-11-18 00:46:14	nmarques	900000000000207008	Japanese translation pilot project	1000003	SEC Corporation	SNOMEDCT	NULL	PUBLIC-BROWSER	https://prod-browser.ihtsdotools.org/snowstorm/snomed-ct	DEFAULT		NULL	NULL
102	David Markwell Demo project	NULL	NULL	2020-10-01 12:44:53	tshird	NULL	Davids Test	NULL	NULL	SNOMEDCT	NULL	PUBLIC-BROWSER	https://prod-browser.ihtsdotools.org/snowstorm/snomed-ct	DEFAULT		NULL	NULL
151	Project created for Estonian eHealth Foundation	NULL	NULL	2023-05-18 08:47:47	rlindstrom	11000181102	HWISC Project	1000181	E-Tervis	SNOMEDCT-EE	NULL	MANAGED-SERVICE	https://prod-snowstorm.ihtsdotools.org/snowstorm/snomed-ct	DEFAULT		2023-05-18 08:47:46.695000	NULL
152	Project created for the UKTC	NULL	NULL	2020-06-24 16:45:54	dshapiro	999000021000000109	UKTC Project	1000000	UKTC	SNOMEDCT	NULL	PUBLIC-BROWSER	https://prod-browser.ihtsdotools.org/snowstorm/snomed-ct	DEFAULT		NULL	NULL
153	Project created for Nictiz	NULL	NULL	2019-11-28 09:16:40	rdavidson	11000146104	Nictiz Project	1000146	Nictiz	SNOMEDCT	NULL	PUBLIC-BROWSER	https://prod-browser.ihtsdotools.org/snowstorm/snomed-ct	DEFAULT		NULL	NULL
154	This project manages the files needed for a mapping from SNOMED CT to the APACHE IV Reasons for Admission	NULL	r.cornet@amc.uva.nl	2019-11-28 09:16:40	rcornet	11000151106	Apache IV Reasons for Admission Mapping	1000151	AMC, dept of Medical Informatics	SNOMEDCT	NULL	PUBLIC-BROWSER	https://prod-browser.ihtsdotools.org/snowstorm/snomed-ct	DEFAULT		NULL	NULL
155	Swedish NRC Project	NULL	NULL	2020-09-30 16:39:21	tshird	45991000052106	Sweden NRC Project (do not use)	1000052	Swedish NRC	SNOMEDCT-SE	NULL	PUBLIC-BROWSER	https://prod-browser.ihtsdotools.org/snowstorm/snomed-ct	DEFAULT		NULL	NULL
156	A refset (or two) for a mapping from SNOMED CT to the APACHE IV Reasons for Admission	NULL	r.cornet@amc.uva.nl	2019-11-28 09:16:40	rcornet	11000151106	Apache IV Reasons for Admission Mapping	1000151	AMC, dept of Medical Informatics	SNOMEDCT	NULL	PUBLIC-BROWSER	https://prod-browser.ihtsdotools.org/snowstorm/snomed-ct	DEFAULT		NULL	NULL
157	Project for Danish NRC using Browser	NULL	NULL	2022-08-30 13:22:56	tshird	900000000000207008	DK Project	1000005	DK	SNOMEDCT-DK	NULL	PUBLIC-BROWSER	https://prod-browser.ihtsdotools.org/snowstorm/snomed-ct	DEFAULT		NULL	NULL
