terminologyId	domain
101000210108	NA
1051000202108	Helsenorge
1081000202100	Helsedirektoratet
1091000202103	Helsenorge
11721000146100	nursing
121000210100	NA
1271000202107	Helsenorge
1281000202109	Helsenorge
1281000245109	Test
1291000202106	Helsedirektoratet
131000210103	NA
1311000202107	Helsedirektoratet
141000210106	NA
1681000202107	Helsenorge
1761000202108	Helsenorge
1771000202104	Helsenorge
191000210102	NA
1971000202101	Helsenorge
1981000202104	Helsenorge
1991000202102	Helsenorge
2.16.840.1.113883.2.20.3.210	Immunization
2001000202104	Helsenorge
2081000202106	Helsedirektoratet
23645832341	Specimen
23671000087102	Immunization
23911000202104	Helsedirektoratet
241000210102	NA
251000210104	NA
253111000210109	Cancer
253121000210104	SACT
253131000210102	SACT
253231000210109	WHO Haematolymphoid
253241000210101	Cancer
253251000210103	AJCC
253281000210108	Cancer
253291000210105	Cancer
253301000210109	Cancer
253311000210106	Cancer
253321000210101	Cancer
253331000210104	Cancer
253341000210107	Cancer
253351000210105	Cancer
253361000210108	Cancer
253371000210102	SACT
253381000210100	SACT
253391000210103	SACT
253401000210100	SACT
253411000210103	SACT
253421000210108	SACT
253441000210102	SACT
253451000210104	AJCC
253461000210101	AJCC
253471000210107	AJCC
253481000210109	AJCC
253491000210106	AJCC Breast
253501000210101	AJCC Haematology
253511000210104	AJCC Breast
253521000210109	AJCC Haematology
253531000210106	AJCC Breast
253541000210103	AJCC Haematology
253551000210100	AJCC Breast
253561000210102	AJCC Haematology
253571000210108	AJCC Haematology
253581000210105	AJCC Haematology
253591000210107	AJCC Haematology
253601000210102	AJCC Haematology
253611000210100	AJCC Haematology
253621000210105	AJCC Haematology
253631000210107	AJCC Haematology
253641000210104	AJCC Haematology
253651000210101	AJCC
253661000210103	AJCC
253671000210109	AJCC
253681000210106	AJCC
253691000210108	AJCC
253701000210108	AJCC Breast
253711000210105	AJCC Haematology
253721000210100	AJCC Breast
253731000210103	AJCC Haematology
253741000210106	AJCC Breast
253751000210109	AJCC Breast
253761000210107	AJCC Haematology
253771000210101	AJCC Haematology
253781000210104	AJCC Haematology
253791000210102	AJCC Haematology
253801000210103	AJCC Haematology
253811000210101	AJCC Haematology
253821000210106	AJCC Haematology
253831000210108	AJCC Haematology
253841000210100	AJCC Haematology
253851000210102	AJCC Haematology
253861000210104	Cancer
253871000210105	SACT
260131000146101	Lab
260181000146102	Allergology
261000210101	NA
263321000210108	WHO Haematolymphoid
263331000210105	WHO Haematolymphoid
263341000210102	WHO Haematolymphoid
263351000210104	WHO Haematolymphoid
263361000210101	WHO Haematolymphoid
263511000210105	SACT
263581000210104	AJCC Haematology
321000210102	NA
391000210104	NA
42931000146101	Allergology
441000210103	NA
451000210100	NA
461000210102	NA
471000210108	NA
501000210102	NA
50831000172102	Allergy
50841000172109	Allergy
50851000172106	Allergy
50861000172108	Allergy
51000210100	NA
541000172109	General / Allergies
551000172106	General / Allergies
5601000003101	Renal
561000172108	General / Allergies
5751000202107	Helsedirektoratet
61000210102	NA
71000210108	NA
712768323948	Specimen
721000172106	GP
721144007	Dentistry
723264001	anatomy
733990004	Procedures
733991000	Diagnosis
771000202103	Patologi
91000210107	NA
9631000146108	Document types
997321000189101	General
997341000189105	General
