crowdProjectId	name	shortName
iedp	International Edition Default Project	SNOMEDCT
sip	SNOMED International Project	SNOMEDCT
siwp	SNOMED International WIP Project	SNOMEDCT
aedp	Austrian Extension Default Project	SNOMEDCT-AT
aedp	Australian Extension Default Project	SNOMEDCT-AU
bedp	Belgian Extension Default Project	SNOMEDCT-BE
wtp	WCI Test Project	SNOMEDCT-BE
bep	Belgian Extension Project	SNOMEDCT-BE
sedp	Swiss Edition Default Project	SNOMEDCT-CH
dedp	Danish Edition Default Project	SNOMEDCT-DK
enp	Estonian NRC Project	SNOMEDCT-EE
eedp	Estonian Edition Default Project	SNOMEDCT-EE
iedp	Irish Edition Default Project	SNOMEDCT-IE
kedp	Korean Extension Default Project	SNOMEDCT-KR
wtp	WCI Test project	SNOMEDCT-NL
m	Microbiology	SNOMEDCT-NL
nedp	Netherlands Extension Default Project	SNOMEDCT-NL
nedp	Norwegian Edition Default Project	SNOMEDCT-NO
nzedp	New Zealand Edition Default Project	SNOMEDCT-NZ
nzrp	New Zealand Refset Project	SNOMEDCT-NZ
sedp	Swedish Edition Default Project	SNOMEDCT-SE
snp	Sweden NRC Project	SNOMEDCT-SE
inrp	Inera National Refset Project	SNOMEDCT-SE
usedp	United States Edition Default Project	SNOMEDCT-US
a	apdp	SNOMEDCT-NL
a	atdptts	SNOMEDCT-BE
a	aedp	SNOMEDCT-AT
aedp	Australian Extension Default Project	SNOMEDCT-AU
aedp	Austrian Extension Default Project	SNOMEDCT-AT
b	bedp	SNOMEDCT-BE
b	bep	SNOMEDCT-BE
b	bepa	SNOMEDCT-BE
bedp	Belgian Extension Default Project	SNOMEDCT-BE
bep	Belgian Extension Project	SNOMEDCT-BE
d	dt1nt	SNOMEDCT-BE
d	dt1et	SNOMEDCT-BE
d	dt3nt	SNOMEDCT-BE
d	dp	SNOMEDCT-BE
d	dt2nt	SNOMEDCT-BE
d	dt0	SNOMEDCT-BE
d	dedp	SNOMEDCT-DK
d	dt2g	SNOMEDCT-BE
d	dt	SNOMEDCT-BE
dedp	Danish Edition Default Project	SNOMEDCT-DK
dt	Dev Test 1 - empty teams	SNOMEDCT-BE
dt0	Dev Test 02	SNOMEDCT-BE
dt0	Dev Test 01	SNOMEDCT-BE
dt1nt 	Dev Test - 1 no teams	SNOMEDCT-BE
dt2g	Dev Test 2 - general	SNOMEDCT-BE
dt2nt	Dev Test - 2 no teams	SNOMEDCT-BE
dt3nt	Dev Test - 3 no teams	SNOMEDCT-BE
e	enp	SNOMEDCT-EE
eedp	Estonian Edition Default Project	SNOMEDCT-EE
enp	Estonian NRC Project	SNOMEDCT-EE
i	iedp	SNOMEDCT-IE
i	iedp	SNOMEDCT
i	inrp	SNOMEDCT-SE
iedp	International Edition Default Project	SNOMEDCT
iedp	Irish Edition Default Project	SNOMEDCT-IE
inrp	Inera National Refset Project	SNOMEDCT-SE
j	jd	SNOMEDCT-BE
j	jd2	SNOMEDCT-BE
k	ktdp	SNOMEDCT-KR
